t;N;D;PP;SP;PR;SR;TR;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50
9042;0.0220389;201.179;633.316;156.897;38.6849;17.4084;55.9622;28.6152;29.5557;20.632;62.271;61.73;0;0;0;0;0;0;0.0236196;0.0313254;0.0840515;0.134507;0.00376439;3.11916;14.0359;4.15329;5.55771;4.85253;5.80847;0;0;0;0;0;0;0;0;0;5.29865;5.5496;0;2.2386;1.29186;2.86119;3.56285;17.2757;15.1534;4.87149;7.78502e-17;0;0;0;0;1.14362e-11;0.179825;1.03972;5.55535
9043;0.0227061;202.683;648.834;135.403;42.9502;17.6355;58.3167;74.0818;69.0807;8.32378;7.9745;6.14733;0;0;0;0;0;0;1.21334;1.56601;2.82777;4.07437;0.00620515;2.07349;10.9109;3.7937;5.1674;4.76964;6.56252;0;0;0;0;0;0;0;0;0;3.61812;6.58934;0;3.23962;1.77981;3.79219;4.63645;22.4072;19.7818;6.19357;9.86515e-17;0;0;0;0;1.20641e-11;0.179122;1.03235;5.4605
9044;0.0323253;200.979;632.212;50.6436;29.9758;19.4064;55.7505;0.0989378;0.0763786;89.4769;33.7035;26.8405;0;0;0;0;0;0;8.73187;10.8955;15.353;20.3577;0.0102383;0.978532;3.05816;1.11352;1.49671;2.11092;4.55832;0;0;0;0;0;0;0;0;0;2.718;5.14192;0;2.64556;1.44585;3.12766;3.88696;19.2381;17.4646;6.10176;1.0606e-16;0;0;0;0;1.25988e-11;0.178105;1.02372;5.38373
9045;0.0255761;200.735;636.99;155.12;39.2221;18.8303;56.5267;0.000500126;0.000297453;96.6481;50.6778;44.0926;0;0;0;0;0;0;1.37542;1.74253;2.87262;3.92303;0.0677306;5.89374;11.6767;3.37276;4.49612;3.41683;6.37512;0;0;0;0;0;0;0;0;0;2.02844;4.36145;0;2.36875;1.25534;2.73133;3.431;17.3413;16.0782;6.1517;1.15343e-16;0;0;0;0;1.24571e-11;0.169978;0.975071;5.12872
9046;0.0520531;201.734;600.659;324.528;14.9025;34.1491;51.0504;0.00826993;0.00374426;44.2082;25.2459;22.0104;0;0;0;0;0;0;0.22175;0.286701;0.556278;0.789642;0.290601;20.3499;27.5998;7.70125;10.2885;5.03426;8.30418;0;0;0;0;0;0;0;0;0;2.65777;8.92417;0;5.46652;2.40101;4.57609;5.41844;26.408;24.0528;8.46646;1.51607e-16;0;0;0;0;1.29669e-11;0.169091;0.967596;5.04535
9047;0.0366268;193.429;598.699;218.818;21.891;24.0014;50.6898;4.14639;1.42547;58.8233;31.2906;29.5066;0;0;0;0;0;0;0.0407812;0.0531185;0.121842;0.182364;0.355147;9.93144;8.48649;4.21158;6.00655;3.71361;8.38436;0;0;0;0;0;0;0;0;0;4.12627;19.1578;0;12.6261;4.66893;7.80182;8.69346;40.066;36.1223;11.9401;2.0689e-16;0;0;0;0;1.7811e-11;0.209893;1.19431;5.83268
9048;0.0204016;188.983;628.402;81.6552;42.3289;13.8064;55.2095;42.8468;16.7117;74.7715;38.3452;40.2175;0;0;0;0;0;0;0.121214;0.14271;0.244072;0.358728;0.365589;2.33817;1.08475;1.47023;2.33432;2.16441;8.4208;0;0;0;0;0;0;0;0;0;3.33106;15.8509;0;10.6479;4.03614;6.94266;7.85277;36.0305;33.4938;13.2564;2.63132e-16;0;0;0;0;2.73717e-11;0.285861;1.6151;7.19324
9049;0.0203909;194.724;637.435;127.881;42.3233;18.4133;56.5942;41.2848;24.8986;70.5922;36.1264;41.3349;0;0;0;0;0;0;3.8433;4.05533;3.94381;5.22936;0.782089;1.35255;0.340727;0.829096;1.42921;1.50184;8.12957;0;0;0;0;0;0;0;0;0;2.17219;9.54686;0;6.41983;2.58198;4.79303;5.63953;26.7049;25.5347;13.3246;3.23435e-16;0;0;0;0;3.58234e-11;0.34196;1.92156;8.09055
9050;0.0228207;198.221;646.71;82.9433;44.9968;14.6137;57.9898;0.3305;0.489826;92.1554;57.7567;67.666;0;0;0;0;0;0;3.73487;3.87427;3.67227;4.8379;3.09813;2.9438;0.476155;1.31697;2.31615;1.66249;8.51405;0;0;0;0;0;0;0;0;0;1.72484;6.21948;0;3.98772;1.65095;3.29467;4.03539;20.0499;19.432;13.2653;3.9403e-16;0;0;0;0;4.00215e-11;0.360171;2.01617;8.2742
9051;0.0280474;201.674;629.17;205.23;33.0685;23.5125;55.3476;0.233574;0.414234;42.2644;61.7279;72.0667;0;0;0;0;0;0;0.640297;0.678695;0.762729;1.04456;12.8599;10.5375;1.63007;4.45743;7.71748;2.73686;9.82253;0;0;0;0;0;0;0;0;0;2.24916;6.19722;0;3.49567;1.41028;2.95291;3.69482;19.0338;17.9313;14.7196;5.12211e-16;0;0;0;0;4.16658e-11;0.357783;1.99645;8.07331
9052;0.0380255;200.778;610.505;263.557;22.1445;28.3554;52.5073;4.63624;6.90117;4.08372;52.5976;57.2523;0;0;0;0;0;0;0.151677;0.164731;0.220885;0.316359;5.73766;9.24306;3.23239;11.4669;19.5596;4.31291;10.6099;0;0;0;0;0;0;0;0;0;4.52633;9.41499;0;4.6016;1.94894;4.22965;5.22522;26.8629;24.1066;19.9193;7.38023e-16;0;0;0;0;4.64777e-11;0.372031;2.06682;8.13759
9053;0.0236168;196.674;634.543;144.752;38.2299;19.4356;56.146;58.0077;67.3792;2.435;17.7492;15.135;0;0;0;0;0;0;1.70141;1.86644;2.21727;3.04669;1.92461;1.46683;0.866858;4.53781;7.71318;2.45553;6.98334;0;0;0;0;0;0;0;0;0;4.18659;7.86073;0;4.02838;2.32056;5.7324;7.13459;36.4414;32.2572;26.185;1.02595e-15;0;0;0;0;5.42542e-11;0.401781;2.22116;8.57444
9054;0.0290364;196.571;633.287;37.1519;33.6994;17.9272;55.9245;0.0792673;0.201134;21.1798;80.6066;71.8325;0;0;0;0;0;0;9.73005;10.7037;11.4207;14.8447;0.948931;0.241809;0.160138;0.931033;1.54816;0.846852;3.33842;0;0;0;0;0;0;0;0;0;3.26361;4.8418;0;2.40825;1.51023;4.09417;5.29954;28.0368;25.0581;23.0877;1.03454e-15;0;0;0;0;5.74952e-11;0.404839;2.23015;8.67447
9055;0.0212525;198.854;655.424;58.6311;51.3513;10.4518;59.3106;0.00060451;0.00234012;51.0513;97.8866;93.0858;0;0;0;0;0;0;1.52821;1.71315;2.16409;2.91127;1.59004;0.4723;0.488742;2.32151;3.65209;1.0787;2.84532;0;0;0;0;0;0;0;0;0;2.16268;2.7542;0;1.35719;0.925615;2.78092;3.7615;20.9049;18.8428;18.9195;9.39396e-16;0;0;0;0;5.51895e-11;0.377828;2.07644;8.21846
